d,k,r,p,sl,bs,ed,hd,lr,dr,dataset,seg_algo_rnn,seg_algo_nt,type,1-gram,2-gram,3-gram,4-gram,5-gram-up
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_rank,r_p_naive_threshold,rnn,13402,39109,2695,231,23
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_rank,r_p_naive_threshold,nt,25418,47762,557,25,0
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_rank,r_p_naive_threshold,either,26895,49416,2936,247,23
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_rank,r_p_naive_threshold,total,41887,51940,6557,1270,208
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_rank,r_p_naive_threshold,rnn,4458,13183,895,78,3
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_rank,r_p_naive_threshold,nt,7471,16070,237,9,0
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_rank,r_p_naive_threshold,either,8074,16674,997,87,3
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_rank,r_p_naive_threshold,total,12781,17747,2478,537,121
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_rank,r_p_naive_threshold,rnn,12088,36981,2236,602,107
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_rank,r_p_naive_threshold,nt,21766,46917,281,4,0
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_rank,r_p_naive_threshold,either,23121,47941,2340,605,107
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_rank,r_p_naive_threshold,total,31841,49727,4351,2447,993
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_rank,r_p_naive_threshold,rnn,11817,34719,1839,379,24
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_rank,r_p_naive_threshold,nt,20761,44298,292,7,0
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_rank,r_p_naive_threshold,either,22057,45424,1966,386,24
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_rank,r_p_naive_threshold,total,32471,48144,4348,1765,166
