d,k,r,p,sl,bs,ed,hd,lr,dr,ep,dataset,seg_algo_rnn,seg_algo_nt,type,1-gram,2-gram,3-gram,4-gram,5-gram-up
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict,r_p_naive_threshold,rnn,30893,41793,978,18,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict,r_p_naive_threshold,nt,25418,47762,557,25,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict,r_p_naive_threshold,either,33454,48829,1351,42,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict,r_p_naive_threshold,total,41887,51940,6557,1270,208
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict,r_p_naive_threshold,rnn,9532,13765,364,6,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict,r_p_naive_threshold,nt,7471,16070,237,9,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict,r_p_naive_threshold,either,10178,16450,522,14,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict,r_p_naive_threshold,total,12781,17747,2478,537,121
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict,r_p_naive_threshold,rnn,26174,43385,1107,72,1
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict,r_p_naive_threshold,nt,21766,46917,281,4,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict,r_p_naive_threshold,either,27565,47969,1271,76,1
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict,r_p_naive_threshold,total,31841,49727,4351,2447,993
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict,r_p_naive_threshold,rnn,25417,40016,904,64,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict,r_p_naive_threshold,nt,20761,44298,292,7,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict,r_p_naive_threshold,either,26924,45280,1093,71,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict,r_p_naive_threshold,total,32471,48144,4348,1765,166
