d,k,r,p,sl,bs,ed,hd,lr,dr,ep,seg_algo,dataset,type,recall,precision,f-score
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,as,test,0.814,0.777,0.795
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,cityu,test,0.795,0.744,0.768
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,msr,test,0.848,0.773,0.809
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be,pku,test,0.826,0.777,0.801
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,as,test,0.816,0.780,0.798
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,cityu,test,0.799,0.747,0.772
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,msr,test,0.849,0.776,0.811
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be,pku,test,0.828,0.781,0.804
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,as,test,0.812,0.796,0.804
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,cityu,test,0.790,0.761,0.775
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,msr,test,0.839,0.794,0.816
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_rank,pku,test,0.811,0.789,0.800
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,as,test,0.814,0.799,0.806
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,cityu,test,0.789,0.764,0.776
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,msr,test,0.839,0.796,0.817
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_rank,pku,test,0.811,0.792,0.802
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,as,test,0.807,0.800,0.803
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,cityu,test,0.782,0.767,0.774
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,msr,test,0.834,0.797,0.815
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_pr,pku,test,0.805,0.793,0.799
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_pr,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_pr,as,test,0.808,0.803,0.806
