d,k,r,p,sl,bs,ed,hd,lr,dr,ep,dataset,seg_algo_rnn,seg_algo_nt,type,1-gram,2-gram,3-gram,4-gram,5-gram-up
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_pr,r_p_naive_threshold,rnn,9036,36047,2825,301,31
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_pr,r_p_naive_threshold,nt,25418,47762,557,25,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_pr,r_p_naive_threshold,either,26245,49232,3057,313,31
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_pr,r_p_naive_threshold,total,41887,51940,6557,1270,208
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_pr,r_p_naive_threshold,rnn,3372,12492,964,104,6
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_pr,r_p_naive_threshold,nt,7471,16070,237,9,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_pr,r_p_naive_threshold,either,7853,16612,1059,109,6
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_pr,r_p_naive_threshold,total,12781,17747,2478,537,121
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_pr,r_p_naive_threshold,rnn,9411,35053,2322,700,133
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_pr,r_p_naive_threshold,nt,21766,46917,281,4,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_pr,r_p_naive_threshold,either,22653,47834,2415,703,133
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_pr,r_p_naive_threshold,total,31841,49727,4351,2447,993
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_pr,r_p_naive_threshold,rnn,9204,32812,1947,475,34
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_pr,r_p_naive_threshold,nt,20761,44298,292,7,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_pr,r_p_naive_threshold,either,21593,45269,2064,482,34
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_pr,r_p_naive_threshold,total,32471,48144,4348,1765,166
