d,k,r,p,sl,bs,ed,hd,lr,dr,ep,dataset,seg_algo_rnn,seg_algo_nt,type,1-gram,2-gram,3-gram,4-gram,5-gram-up
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_strict_pr,r_p_naive_threshold,rnn,29543,42017,1124,34,2
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_strict_pr,r_p_naive_threshold,nt,25418,47762,557,25,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_strict_pr,r_p_naive_threshold,either,32968,48997,1502,58,2
300,1500,,16,3,4096,256,256,0.0002,0.2,40,as,rnn_be_strict_pr,r_p_naive_threshold,total,41887,51940,6557,1270,208
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_strict_pr,r_p_naive_threshold,rnn,9160,13717,425,15,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_strict_pr,r_p_naive_threshold,nt,7471,16070,237,9,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_strict_pr,r_p_naive_threshold,either,10022,16474,574,24,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,cityu,rnn_be_strict_pr,r_p_naive_threshold,total,12781,17747,2478,537,121
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_strict_pr,r_p_naive_threshold,rnn,24902,42855,1363,240,22
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_strict_pr,r_p_naive_threshold,nt,21766,46917,281,4,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_strict_pr,r_p_naive_threshold,either,27197,47937,1507,244,22
300,1500,,16,3,4096,256,256,0.0002,0.2,40,msr,rnn_be_strict_pr,r_p_naive_threshold,total,31841,49727,4351,2447,993
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_strict_pr,r_p_naive_threshold,rnn,24312,39345,1194,178,14
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_strict_pr,r_p_naive_threshold,nt,20761,44298,292,7,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_strict_pr,r_p_naive_threshold,either,26549,45231,1387,185,14
300,1500,,16,3,4096,256,256,0.0002,0.2,40,pku,rnn_be_strict_pr,r_p_naive_threshold,total,32471,48144,4348,1765,166
