d,k,r,p,sl,bs,ed,hd,lr,dr,dataset,seg_algo_rnn,seg_algo_nt,type,1-gram,2-gram,3-gram,4-gram,5-gram-up
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_strict_rank,r_p_naive_threshold,rnn,31157,41112,1004,29,1
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_strict_rank,r_p_naive_threshold,nt,25418,47762,557,25,0
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_strict_rank,r_p_naive_threshold,either,33977,48877,1397,53,1
300,1500,,16,3,4096,256,256,0.0002,0.2,as,rnn_be_strict_rank,r_p_naive_threshold,total,41887,51940,6557,1270,208
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_strict_rank,r_p_naive_threshold,rnn,9527,13471,392,15,0
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_strict_rank,r_p_naive_threshold,nt,7471,16070,237,9,0
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_strict_rank,r_p_naive_threshold,either,10253,16433,547,24,0
300,1500,,16,3,4096,256,256,0.0002,0.2,cityu,rnn_be_strict_rank,r_p_naive_threshold,total,12781,17747,2478,537,121
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_strict_rank,r_p_naive_threshold,rnn,25630,42155,1270,225,19
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_strict_rank,r_p_naive_threshold,nt,21766,46917,281,4,0
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_strict_rank,r_p_naive_threshold,either,27670,47864,1422,229,19
300,1500,,16,3,4096,256,256,0.0002,0.2,msr,rnn_be_strict_rank,r_p_naive_threshold,total,31841,49727,4351,2447,993
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_strict_rank,r_p_naive_threshold,rnn,25143,38801,1140,158,10
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_strict_rank,r_p_naive_threshold,nt,20761,44298,292,7,0
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_strict_rank,r_p_naive_threshold,either,27120,45173,1335,165,10
300,1500,,16,3,4096,256,256,0.0002,0.2,pku,rnn_be_strict_rank,r_p_naive_threshold,total,32471,48144,4348,1765,166
