d,k,dataset,type,recall,precision,f-score,,,k,f-score
300,5000,as,train,0,0,0,,,15000,0.685
300,5000,as,test,0.657,0.666,0.661,,,10000,0.685
300,5000,cityu,train,0,0,0,,,5000,0.685
300,5000,cityu,test,0.683,0.68,0.682,,,2000,0.647
300,5000,msr,train,0,0,0,,,1500,0.642
300,5000,msr,test,0.707,0.676,0.692,,,1000,0.605
300,5000,pku,train,0,0,0,,,500,0.523
300,5000,pku,test,0.706,0.705,0.705,,,100,0.417
300,2000,as,train,0,0,0,,,50,0.415
300,2000,as,test,0.62,0.628,0.624,,,10,0.408
300,2000,cityu,train,0,0,0,,,,
300,2000,cityu,test,0.651,0.649,0.65,,,,
300,2000,msr,train,0,0,0,,,,
300,2000,msr,test,0.665,0.637,0.65,,,,
300,2000,pku,train,0,0,0,,,,
300,2000,pku,test,0.663,0.663,0.663,,,,
300,1500,as,train,0,0,0,,,,
300,1500,as,test,0.611,0.62,0.615,,,,
300,1500,cityu,train,0,0,0,,,,
300,1500,cityu,test,0.644,0.643,0.644,,,,
300,1500,msr,train,0,0,0,,,,
300,1500,msr,test,0.663,0.635,0.649,,,,
300,1500,pku,train,0,0,0,,,,
300,1500,pku,test,0.659,0.659,0.659,,,,
300,1000,as,train,0,0,0,,,,
300,1000,as,test,0.575,0.581,0.578,,,,
300,1000,cityu,train,0,0,0,,,,
300,1000,cityu,test,0.607,0.601,0.604,,,,
300,1000,msr,train,0,0,0,,,,
300,1000,msr,test,0.628,0.6,0.614,,,,
300,1000,pku,train,0,0,0,,,,
300,1000,pku,test,0.623,0.623,0.623,,,,
300,500,as,train,0,0,0,,,,
300,500,as,test,0.504,0.505,0.505,,,,
300,500,cityu,train,0,0,0,,,,
300,500,cityu,test,0.538,0.529,0.534,,,,
300,500,msr,train,0,0,0,,,,
300,500,msr,test,0.535,0.505,0.52,,,,
300,500,pku,train,0,0,0,,,,
300,500,pku,test,0.536,0.53,0.533,,,,
300,100,as,train,0,0,0,,,,
300,100,as,test,0.412,0.417,0.414,,,,
300,100,cityu,train,0,0,0,,,,
300,100,cityu,test,0.435,0.428,0.432,,,,
300,100,msr,train,0,0,0,,,,
300,100,msr,test,0.418,0.392,0.405,,,,
300,100,pku,train,0,0,0,,,,
300,100,pku,test,0.42,0.413,0.416,,,,
300,50,as,train,0,0,0,,,,
300,50,as,test,0.403,0.414,0.408,,,,
300,50,cityu,train,0,0,0,,,,
300,50,cityu,test,0.422,0.42,0.421,,,,
300,50,msr,train,0,0,0,,,,
300,50,msr,test,0.424,0.401,0.412,,,,
300,50,pku,train,0,0,0,,,,
300,50,pku,test,0.42,0.418,0.419,,,,
300,10,as,train,0,0,0,,,,
300,10,as,test,0.398,0.418,0.408,,,,
300,10,cityu,train,0,0,0,,,,
300,10,cityu,test,0.409,0.42,0.414,,,,
300,10,msr,train,0,0,0,,,,
300,10,msr,test,0.406,0.393,0.399,,,,
300,10,pku,train,0,0,0,,,,
300,10,pku,test,0.408,0.417,0.412,,,,
300,15000,as,train,0,0,0,,,,
300,15000,as,test,0.657,0.666,0.662,,,,
300,15000,cityu,train,0,0,0,,,,
300,15000,cityu,test,0.683,0.68,0.681,,,,
300,15000,msr,train,0,0,0,,,,
300,15000,msr,test,0.708,0.676,0.692,,,,
300,15000,pku,train,0,0,0,,,,
300,15000,pku,test,0.706,0.705,0.705,,,,
300,10000,as,train,0,0,0,,,,
300,10000,as,test,0.657,0.666,0.662,,,,
300,10000,cityu,train,0,0,0,,,,
300,10000,cityu,test,0.683,0.68,0.681,,,,
300,10000,msr,train,0,0,0,,,,
300,10000,msr,test,0.708,0.676,0.692,,,,
300,10000,pku,train,0,0,0,,,,
300,10000,pku,test,0.706,0.705,0.705,,,,
