d,k,dataset,type,recall,precision,f-score
300,5000,as,train,0,0,0
300,5000,as,test,0.711,0.707,0.709
300,5000,cityu,train,0,0,0
300,5000,cityu,test,0.719,0.687,0.703
300,5000,msr,train,0,0,0
300,5000,msr,test,0.774,0.724,0.748
300,5000,pku,train,0,0,0
300,5000,pku,test,0.758,0.736,0.746
300,2000,as,train,0,0,0
300,2000,as,test,0.704,0.703,0.704
300,2000,cityu,train,0,0,0
300,2000,cityu,test,0.718,0.690,0.704
300,2000,msr,train,0,0,0
300,2000,msr,test,0.772,0.724,0.747
300,2000,pku,train,0,0,0
300,2000,pku,test,0.755,0.734,0.744
300,1500,as,train,0,0,0
300,1500,as,test,0.700,0.699,0.700
300,1500,cityu,train,0,0,0
300,1500,cityu,test,0.715,0.691,0.703
300,1500,msr,train,0,0,0
300,1500,msr,test,0.768,0.721,0.744
300,1500,pku,train,0,0,0
300,1500,pku,test,0.752,0.733,0.742
300,1000,as,train,0,0,0
300,1000,as,test,0.682,0.682,0.682
300,1000,cityu,train,0,0,0
300,1000,cityu,test,0.703,0.682,0.692
300,1000,msr,train,0,0,0
300,1000,msr,test,0.758,0.713,0.735
300,1000,pku,train,0,0,0
300,1000,pku,test,0.742,0.725,0.733
300,500,as,train,0,0,0
300,500,as,test,0.615,0.614,0.614
300,500,cityu,train,0,0,0
300,500,cityu,test,0.656,0.640,0.648
300,500,msr,train,0,0,0
300,500,msr,test,0.703,0.664,0.683
300,500,pku,train,0,0,0
300,500,pku,test,0.707,0.694,0.700
300,100,as,train,0,0,0
300,100,as,test,0.434,0.429,0.431
300,100,cityu,train,0,0,0
300,100,cityu,test,0.528,0.522,0.525
300,100,msr,train,0,0,0
300,100,msr,test,0.468,0.436,0.451
300,100,pku,train,0,0,0
300,100,pku,test,0.543,0.537,0.540
300,50,as,train,0,0,0
300,50,as,test,0.430,0.425,0.427
300,50,cityu,train,0,0,0
300,50,cityu,test,0.466,0.457,0.461
300,50,msr,train,0,0,0
300,50,msr,test,0.421,0.399,0.410
300,50,pku,train,0,0,0
300,50,pku,test,0.438,0.431,0.434
300,10,as,train,0,0,0
300,10,as,test,0.428,0.435,0.431
300,10,cityu,train,0,0,0
300,10,cityu,test,0.448,0.447,0.447
300,10,msr,train,0,0,0
300,10,msr,test,0.443,0.429,0.436
300,10,pku,train,0,0,0
300,10,pku,test,0.433,0.433,0.433
