d,k,dataset,type,recall,precision,f-score
300,5000,as,train,0,0,0
300,5000,as,test,0.711,0.711,0.711
300,5000,cityu,train,0,0,0
300,5000,cityu,test,0.723,0.708,0.715
300,5000,msr,train,0,0,0
300,5000,msr,test,0.760,0.715,0.737
300,5000,pku,train,0,0,0
300,5000,pku,test,0.754,0.740,0.747
300,2000,as,train,0,0,0
300,2000,as,test,0.692,0.692,0.692
300,2000,cityu,train,0,0,0
300,2000,cityu,test,0.710,0.694,0.702
300,2000,msr,train,0,0,0
300,2000,msr,test,0.746,0.701,0.723
300,2000,pku,train,0,0,0
300,2000,pku,test,0.737,0.724,0.730
300,1500,as,train,0,0,0
300,1500,as,test,0.678,0.679,0.678
300,1500,cityu,train,0,0,0
300,1500,cityu,test,0.699,0.683,0.691
300,1500,msr,train,0,0,0
300,1500,msr,test,0.739,0.693,0.715
300,1500,pku,train,0,0,0
300,1500,pku,test,0.729,0.716,0.723
300,1000,as,train,0,0,0
300,1000,as,test,0.646,0.644,0.645
300,1000,cityu,train,0,0,0
300,1000,cityu,test,0.671,0.654,0.662
300,1000,msr,train,0,0,0
300,1000,msr,test,0.708,0.664,0.685
300,1000,pku,train,0,0,0
300,1000,pku,test,0.699,0.685,0.692
300,500,as,train,0,0,0
300,500,as,test,0.574,0.572,0.573
300,500,cityu,train,0,0,0
300,500,cityu,test,0.603,0.585,0.594
300,500,msr,train,0,0,0
300,500,msr,test,0.622,0.581,0.601
300,500,pku,train,0,0,0
300,500,pku,test,0.620,0.607,0.613
300,100,as,train,0,0,0
300,100,as,test,0.448,0.452,0.450
300,100,cityu,train,0,0,0
300,100,cityu,test,0.476,0.467,0.472
300,100,msr,train,0,0,0
300,100,msr,test,0.459,0.431,0.445
300,100,pku,train,0,0,0
300,100,pku,test,0.467,0.459,0.463
300,50,as,train,0,0,0
300,50,as,test,0.433,0.437,0.435
300,50,cityu,train,0,0,0
300,50,cityu,test,0.452,0.445,0.448
300,50,msr,train,0,0,0
300,50,msr,test,0.453,0.424,0.438
300,50,pku,train,0,0,0
300,50,pku,test,0.450,0.442,0.446
300,10,as,train,0,0,0
300,10,as,test,0.428,0.435,0.432
300,10,cityu,train,0,0,0
300,10,cityu,test,0.443,0.441,0.442
300,10,msr,train,0,0,0
300,10,msr,test,0.434,0.409,0.421
300,10,pku,train,0,0,0
300,10,pku,test,0.439,0.435,0.437
300,15000,as,train,0,0,0
300,15000,as,test,0.711,0.711,0.711
300,15000,cityu,train,0,0,0
300,15000,cityu,test,0.724,0.708,0.715
300,15000,msr,train,0,0,0
300,15000,msr,test,0.760,0.715,0.737
300,15000,pku,train,0,0,0
300,15000,pku,test,0.754,0.740,0.747
300,10000,as,train,0,0,0
300,10000,as,test,0.711,0.711,0.711
300,10000,cityu,train,0,0,0
300,10000,cityu,test,0.724,0.708,0.715
300,10000,msr,train,0,0,0
300,10000,msr,test,0.760,0.715,0.737
300,10000,pku,train,0,0,0
300,10000,pku,test,0.754,0.740,0.747
