d,k,dataset,type,recall,precision,f-score
300,5000,as,train,0,0,0
300,5000,as,test,0.759,0.736,0.747
300,5000,cityu,train,0,0,0
300,5000,cityu,test,0.746,0.704,0.724
300,5000,msr,train,0,0,0
300,5000,msr,test,0.798,0.731,0.763
300,5000,pku,train,0,0,0
300,5000,pku,test,0.779,0.745,0.762
300,2000,as,train,0,0,0
300,2000,as,test,0.759,0.740,0.749
300,2000,cityu,train,0,0,0
300,2000,cityu,test,0.746,0.708,0.726
300,2000,msr,train,0,0,0
300,2000,msr,test,0.797,0.732,0.764
300,2000,pku,train,0,0,0
300,2000,pku,test,0.776,0.743,0.759
300,1500,as,train,0,0,0
300,1500,as,test,0.759,0.741,0.750
300,1500,cityu,train,0,0,0
300,1500,cityu,test,0.747,0.712,0.729
300,1500,msr,train,0,0,0
300,1500,msr,test,0.796,0.733,0.764
300,1500,pku,train,0,0,0
300,1500,pku,test,0.776,0.745,0.760
300,1000,as,train,0,0,0
300,1000,as,test,0.754,0.735,0.744
300,1000,cityu,train,0,0,0
300,1000,cityu,test,0.745,0.708,0.726
300,1000,msr,train,0,0,0
300,1000,msr,test,0.792,0.730,0.760
300,1000,pku,train,0,0,0
300,1000,pku,test,0.772,0.741,0.756
300,500,as,train,0,0,0
300,500,as,test,0.722,0.696,0.709
300,500,cityu,train,0,0,0
300,500,cityu,test,0.715,0.676,0.695
300,500,msr,train,0,0,0
300,500,msr,test,0.763,0.698,0.729
300,500,pku,train,0,0,0
300,500,pku,test,0.754,0.723,0.738
300,100,as,train,0,0,0
300,100,as,test,0.606,0.569,0.587
300,100,cityu,train,0,0,0
300,100,cityu,test,0.620,0.574,0.596
300,100,msr,train,0,0,0
300,100,msr,test,0.610,0.537,0.571
300,100,pku,train,0,0,0
300,100,pku,test,0.641,0.598,0.618
300,50,as,train,0,0,0
300,50,as,test,0.602,0.564,0.582
300,50,cityu,train,0,0,0
300,50,cityu,test,0.585,0.540,0.562
300,50,msr,train,0,0,0
300,50,msr,test,0.591,0.518,0.552
300,50,pku,train,0,0,0
300,50,pku,test,0.578,0.532,0.554
300,10,as,train,0,0,0
300,10,as,test,0.604,0.566,0.584
300,10,cityu,train,0,0,0
300,10,cityu,test,0.572,0.529,0.549
300,10,msr,train,0,0,0
300,10,msr,test,0.581,0.508,0.542
300,10,pku,train,0,0,0
300,10,pku,test,0.577,0.531,0.553
