d,k,dataset,type,recall,precision,f-score
300,5000,as,train,0,0,0
300,5000,as,test,0.750,0.738,0.744
300,5000,cityu,train,0,0,0
300,5000,cityu,test,0.755,0.728,0.741
300,5000,msr,train,0,0,0
300,5000,msr,test,0.797,0.735,0.765
300,5000,pku,train,0,0,0
300,5000,pku,test,0.787,0.760,0.773
300,2000,as,train,0,0,0
300,2000,as,test,0.741,0.729,0.735
300,2000,cityu,train,0,0,0
300,2000,cityu,test,0.749,0.721,0.735
300,2000,msr,train,0,0,0
300,2000,msr,test,0.791,0.730,0.759
300,2000,pku,train,0,0,0
300,2000,pku,test,0.781,0.753,0.767
300,1500,as,train,0,0,0
300,1500,as,test,0.735,0.723,0.729
300,1500,cityu,train,0,0,0
300,1500,cityu,test,0.742,0.714,0.728
300,1500,msr,train,0,0,0
300,1500,msr,test,0.787,0.726,0.755
300,1500,pku,train,0,0,0
300,1500,pku,test,0.776,0.748,0.762
300,1000,as,train,0,0,0
300,1000,as,test,0.713,0.696,0.704
300,1000,cityu,train,0,0,0
300,1000,cityu,test,0.721,0.688,0.704
300,1000,msr,train,0,0,0
300,1000,msr,test,0.767,0.703,0.734
300,1000,pku,train,0,0,0
300,1000,pku,test,0.757,0.725,0.741
300,500,as,train,0,0,0
300,500,as,test,0.663,0.639,0.651
300,500,cityu,train,0,0,0
300,500,cityu,test,0.673,0.636,0.654
300,500,msr,train,0,0,0
300,500,msr,test,0.714,0.645,0.678
300,500,pku,train,0,0,0
300,500,pku,test,0.707,0.670,0.688
300,100,as,train,0,0,0
300,100,as,test,0.566,0.533,0.549
300,100,cityu,train,0,0,0
300,100,cityu,test,0.570,0.525,0.546
300,100,msr,train,0,0,0
300,100,msr,test,0.592,0.520,0.554
300,100,pku,train,0,0,0
300,100,pku,test,0.591,0.544,0.567
300,50,as,train,0,0,0
300,50,as,test,0.560,0.528,0.543
300,50,cityu,train,0,0,0
300,50,cityu,test,0.564,0.519,0.541
300,50,msr,train,0,0,0
300,50,msr,test,0.585,0.512,0.546
300,50,pku,train,0,0,0
300,50,pku,test,0.577,0.528,0.552
300,10,as,train,0,0,0
300,10,as,test,0.547,0.519,0.533
300,10,cityu,train,0,0,0
300,10,cityu,test,0.545,0.504,0.524
300,10,msr,train,0,0,0
300,10,msr,test,0.567,0.495,0.529
300,10,pku,train,0,0,0
300,10,pku,test,0.567,0.520,0.542
300,15000,as,train,0,0,0
300,15000,as,test,0.750,0.738,0.744
300,15000,cityu,train,0,0,0
300,15000,cityu,test,0.755,0.728,0.741
300,15000,msr,train,0,0,0
300,15000,msr,test,0.797,0.735,0.765
300,15000,pku,train,0,0,0
300,15000,pku,test,0.787,0.760,0.773
300,10000,as,train,0,0,0
300,10000,as,test,0.750,0.738,0.744
300,10000,cityu,train,0,0,0
300,10000,cityu,test,0.755,0.728,0.741
300,10000,msr,train,0,0,0
300,10000,msr,test,0.797,0.735,0.765
300,10000,pku,train,0,0,0
300,10000,pku,test,0.787,0.760,0.773
