d,k,p,dataset,type,recall,precision,f-score
300,5000,1,as,train,0,0,0
300,5000,1,as,test,0.718,0.714,0.716
300,5000,1,cityu,train,0,0,0
300,5000,1,cityu,test,0.723,0.690,0.706
300,5000,1,msr,train,0,0,0
300,5000,1,msr,test,0.779,0.728,0.753
300,5000,1,pku,train,0,0,0
300,5000,1,pku,test,0.760,0.738,0.749
300,2000,1,as,train,0,0,0
300,2000,1,as,test,0.712,0.710,0.711
300,2000,1,cityu,train,0,0,0
300,2000,1,cityu,test,0.722,0.694,0.708
300,2000,1,msr,train,0,0,0
300,2000,1,msr,test,0.777,0.728,0.752
300,2000,1,pku,train,0,0,0
300,2000,1,pku,test,0.758,0.737,0.747
300,1500,1,as,train,0,0,0
300,1500,1,as,test,0.708,0.707,0.707
300,1500,1,cityu,train,0,0,0
300,1500,1,cityu,test,0.719,0.695,0.707
300,1500,1,msr,train,0,0,0
300,1500,1,msr,test,0.774,0.726,0.749
300,1500,1,pku,train,0,0,0
300,1500,1,pku,test,0.755,0.735,0.745
300,1000,1,as,train,0,0,0
300,1000,1,as,test,0.691,0.692,0.691
300,1000,1,cityu,train,0,0,0
300,1000,1,cityu,test,0.707,0.686,0.696
300,1000,1,msr,train,0,0,0
300,1000,1,msr,test,0.764,0.718,0.740
300,1000,1,pku,train,0,0,0
300,1000,1,pku,test,0.745,0.728,0.737
300,500,1,as,train,0,0,0
300,500,1,as,test,0.625,0.626,0.626
300,500,1,cityu,train,0,0,0
300,500,1,cityu,test,0.662,0.646,0.654
300,500,1,msr,train,0,0,0
300,500,1,msr,test,0.712,0.672,0.691
300,500,1,pku,train,0,0,0
300,500,1,pku,test,0.713,0.700,0.707
300,100,1,as,train,0,0,0
300,100,1,as,test,0.451,0.446,0.449
300,100,1,cityu,train,0,0,0
300,100,1,cityu,test,0.541,0.535,0.538
300,100,1,msr,train,0,0,0
300,100,1,msr,test,0.476,0.447,0.461
300,100,1,pku,train,0,0,0
300,100,1,pku,test,0.554,0.548,0.551
300,50,1,as,train,0,0,0
300,50,1,as,test,0.442,0.441,0.442
300,50,1,cityu,train,0,0,0
300,50,1,cityu,test,0.473,0.469,0.471
300,50,1,msr,train,0,0,0
300,50,1,msr,test,0.431,0.413,0.422
300,50,1,pku,train,0,0,0
300,50,1,pku,test,0.446,0.442,0.444
300,10,1,as,train,0,0,0
300,10,1,as,test,0.446,0.471,0.458
300,10,1,cityu,train,0,0,0
300,10,1,cityu,test,0.450,0.462,0.456
300,10,1,msr,train,0,0,0
300,10,1,msr,test,0.465,0.463,0.464
300,10,1,pku,train,0,0,0
300,10,1,pku,test,0.438,0.454,0.446
300,5000,2,as,train,0,0,0
300,5000,2,as,test,0.724,0.719,0.721
300,5000,2,cityu,train,0,0,0
300,5000,2,cityu,test,0.726,0.693,0.709
300,5000,2,msr,train,0,0,0
300,5000,2,msr,test,0.782,0.730,0.756
300,5000,2,pku,train,0,0,0
