d,k,dataset,type,recall,precision,f-score
300,5000,as,train,0,0,0
300,5000,as,test,0.725,0.700,0.712
300,5000,cityu,train,0,0,0
300,5000,cityu,test,0.735,0.696,0.715
300,5000,msr,train,0,0,0
300,5000,msr,test,0.774,0.707,0.739
300,5000,pku,train,0,0,0
300,5000,pku,test,0.765,0.728,0.746
300,2000,as,train,0,0,0
300,2000,as,test,0.709,0.680,0.694
300,2000,cityu,train,0,0,0
300,2000,cityu,test,0.723,0.681,0.702
300,2000,msr,train,0,0,0
300,2000,msr,test,0.762,0.693,0.726
300,2000,pku,train,0,0,0
300,2000,pku,test,0.751,0.712,0.731
300,1500,as,train,0,0,0
300,1500,as,test,0.697,0.667,0.682
300,1500,cityu,train,0,0,0
300,1500,cityu,test,0.714,0.671,0.692
300,1500,msr,train,0,0,0
300,1500,msr,test,0.754,0.684,0.718
300,1500,pku,train,0,0,0
300,1500,pku,test,0.744,0.703,0.723
300,1000,as,train,0,0,0
300,1000,as,test,0.666,0.629,0.647
300,1000,cityu,train,0,0,0
300,1000,cityu,test,0.686,0.635,0.660
300,1000,msr,train,0,0,0
300,1000,msr,test,0.728,0.654,0.689
300,1000,pku,train,0,0,0
300,1000,pku,test,0.717,0.670,0.693
300,500,as,train,0,0,0
300,500,as,test,0.604,0.552,0.577
300,500,cityu,train,0,0,0
300,500,cityu,test,0.627,0.563,0.593
300,500,msr,train,0,0,0
300,500,msr,test,0.651,0.565,0.605
300,500,pku,train,0,0,0
300,500,pku,test,0.646,0.584,0.613
300,100,as,train,0,0,0
300,100,as,test,0.502,0.421,0.458
300,100,cityu,train,0,0,0
300,100,cityu,test,0.514,0.423,0.464
300,100,msr,train,0,0,0
300,100,msr,test,0.504,0.394,0.442
300,100,pku,train,0,0,0
300,100,pku,test,0.515,0.423,0.464
300,50,as,train,0,0,0
300,50,as,test,0.496,0.403,0.444
300,50,cityu,train,0,0,0
300,50,cityu,test,0.499,0.396,0.441
300,50,msr,train,0,0,0
300,50,msr,test,0.495,0.374,0.426
300,50,pku,train,0,0,0
300,50,pku,test,0.493,0.391,0.436
300,10,as,train,0,0,0
300,10,as,test,0.505,0.385,0.436
300,10,cityu,train,0,0,0
300,10,cityu,test,0.498,0.374,0.427
300,10,msr,train,0,0,0
300,10,msr,test,0.481,0.344,0.401
300,10,pku,train,0,0,0
300,10,pku,test,0.485,0.362,0.414
300,15000,as,train,0,0,0
300,15000,as,test,0.725,0.700,0.713
300,15000,cityu,train,0,0,0
300,15000,cityu,test,0.735,0.696,0.715
300,15000,msr,train,0,0,0
300,15000,msr,test,0.774,0.707,0.739
300,15000,pku,train,0,0,0
300,15000,pku,test,0.765,0.728,0.746
300,10000,as,train,0,0,0
300,10000,as,test,0.725,0.700,0.713
300,10000,cityu,train,0,0,0
300,10000,cityu,test,0.735,0.696,0.715
300,10000,msr,train,0,0,0
300,10000,msr,test,0.774,0.707,0.739
300,10000,pku,train,0,0,0
300,10000,pku,test,0.765,0.728,0.746
